kanji,on_readings,kun_readings,meanings,jlpt_level,on_count,kun_count,meaning_count
新,シン,あたら.しい あら.た あら- にい,new,N4,1,4,1
場,ジョウ チョウ,ば,"location, place",N4,2,1,2
員,イ,,"employee, member, number, the one in charge",N4,1,0,4
立,リツ リュウ リットル -ダ.テ,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て,stand up,N4,4,9,1
開,カイ ア.ケ,ひら.く ひら.き -びら.き ひら.ける あ.く,"open, unfold, unseal",N4,2,5,3
手,シュ ズ,て て- -て た-,hand,N4,2,4,1
力,リョク リキ リイ チカ,,"power, strong, strain, bear up, exert",N4,4,0,5
問,モン ト,と.う と.い,"question, ask, problem",N4,2,2,3
代,ダイ タイ シ,か.わる かわ.る かわ.り -がわ.り か.える よ,"substitute, change, convert, replace, period, age, generation, charge, rate, fee",N4,3,6,10
明,メイ ミョウ ミン ア.カ,あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる,"bright, light",N4,4,9,2
動,ドウ ウゴ.カ,うご.く,"move, motion, change, confusion, shift, shake",N4,2,1,6
京,キョウ ケイ キン ミヤ,,"capital, 10**16",N4,4,0,2
目,モク ボク,め -め ま,"eye, class, look, insight, experience, care, favor",N4,2,3,7
通,ツウ ツ カヨ.,とお.る とお.り -とお.り -どお.り とお.す とお.し -どお.し,"traffic, pass through, avenue, commute, counter for letters",N4,3,7,5
言,ゲン ゴン コ,い.う,say,N4,3,1,1
理,リ コトワ,,"logic, arrangement, reason, justice, truth",N4,2,0,5
体,タイ テイ カタ,からだ,"body, substance, object, reality, counter for images",N4,3,1,5
田,デン,,"rice field, rice paddy",N4,1,0,2
主,シュ ス シュウ アル,ぬし おも,"lord, chief, master, main thing, principal",N4,4,2,5
題,ダイ,,"topic, subject",N4,1,0,2
意,,,"idea, mind, heart, taste, thought, desire, care, liking",N4,0,0,8
不,フ ブ,,"negative, non-, bad, ugly, clumsy",N4,2,0,5
作,サク サ -ヅク.,つく.る つく.り,"make, production, prepare, build",N4,3,2,4
用,ヨウ モチ.イ,,"utilize, business, service, use, employ",N4,2,0,5
度,ド ト タク -タ.,たび,"degrees, occurrence, time, counter for occurrences",N4,4,1,4
強,キョウ ゴウ コワ.,つよ.い つよ.まる つよ.める し.いる,strong,N4,3,4,1
公,コウ ク オオヤ,,"public, prince, official, governmental",N4,3,0,4
持,ジ モ.テ,も.つ -も.ち,"hold, have",N4,2,2,2
野,ヤ ショ,の の,"plains, field, rustic, civilian life",N4,2,2,4
以,イ モッ.,,"by means of, because, in view of, compared with",N4,2,0,4
思,シ,おも.う おもえら.く おぼ.す,think,N4,1,3,1
家,カ ケ ウ,いえ や,"house, home",N4,3,2,2
世,セイ セ ソウ サンジュ,よ,"generation, world, society, public",N4,4,1,4
多,タ,おお.い まさ.に まさ.る,"many, frequent, much",N4,1,3,3
正,セイ ショウ マサ.,ただ.しい ただ.す まさ,"correct, justice, righteous, 10**40",N4,3,3,4
安,アン ヤス.ラ,やす.い やす.まる やす,"relax, cheap, low, quiet, rested, contented, peaceful",N4,2,3,7
院,イン,,"Inst., institution, temple, mansion, school",N4,1,0,5
心,,りっしんべん,"heart, mind, spirit",N4,0,1,3
界,カイ,,world,N4,1,0,1
教,キョウ オソ.ワ,おし.える,"teach, faith, doctrine",N4,2,1,3
文,ブン モン ア,ふみ,"sentence, literature, style, art, decoration, figures, plan",N4,3,1,7
元,ゲン ガン モ,,"beginning, former time, origin",N4,3,0,3
重,ジュウ チョウ オ,え おも.い おも.り おも.なう かさ.ねる かさ.なる,"heavy, heap up, pile up, nest of boxes, -fold",N4,3,6,5
近,キン コン チカ.,,"near, early, akin, tantamount",N4,3,0,4
考,コウ カンガ.,かんが.える,"consider, think over",N4,2,1,2
画,ガ カク エ カイ,えが.く かく.する かぎ.る はかりごと はか.る,"brush-stroke, picture",N4,4,5,2
海,カイ ウ,,"sea, ocean",N4,2,0,2
売,バイ ウ.レ,う.る,sell,N4,2,1,1
知,チ シ.ラセ,し.る,"know, wisdom",N4,2,1,2
道,ドウ トウ ミ,,"road-way, street, district, journey, course, moral, teachings",N4,3,0,7
集,シュウ ツド.,あつ.まる あつ.める,"gather, meet, congregate, swarm, flock",N4,2,2,5
別,ベツ ワ.ケ,わか.れる,"separate, branch off, diverge, fork, another, extra, specially",N4,2,1,7
物,ブツ モツ,もの もの-,"thing, object, matter",N4,2,2,3
使,シ,つか.う つか.い -つか.い -づか.い,use,N4,1,4,1
品,ヒン ホン,しな,"goods, refinement, dignity, article, counter for meal courses",N4,2,1,5
計,ケイ ハカ.ラ,はか.る,"plot, plan, scheme, measure",N4,2,1,4
死,シ,し.ぬ し.に-,"death, die",N4,1,2,2
特,トク,,special,N4,1,0,1
私,シ,わたくし わたし,"private, I, me",N4,1,2,3
始,シ ハジ.マ,はじ.める -はじ.める,"commence, begin",N4,2,2,2
朝,チョウ ア,,"morning, dynasty, regime, epoch, period, (North) Korea",N4,2,0,6
運,ウン,はこ.ぶ,"carry, luck, destiny, fate, lot, transport, progress, advance",N4,1,1,8
終,シュウ ツイ.,お.わる -お.わる おわ.る お.える つい,"end, finish",N4,2,5,2
台,ダイ タイ,うてな われ つかさ,"pedestal, a stand, counter for machines and vehicles",N4,2,3,3
広,コウ,ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる,"wide, broad, spacious",N4,1,5,3
住,ジュウ ヂュウ チュウ -ズ.マ,す.む す.まう,"dwell, reside, live, inhabit",N4,4,2,4
真,シン マコ,ま ま-,"true, reality, Buddhist sect",N4,2,2,3
有,ユウ ウ ア.,,"possess, have, exist, happen, occur, approx",N4,3,0,6
口,コウ ク,くち,mouth,N4,2,1,1
少,ショウ,すく.ない すこ.し,"few, little",N4,1,2,2
町,チョウ,まち,"village, town, block, street",N4,1,1,4
料,リョウ,,"fee, materials",N4,1,0,2
工,コウ ク,,"craft, construction",N4,2,0,2
建,ケン コン タ.,た.てる た.て -だ.て,build,N4,3,3,1
空,クウ ムナ.シ,そら あ.く あ.き あ.ける から す.く す.かす,"empty, sky, void, vacant, vacuum",N4,2,7,5
急,キュウ,いそ.ぐ いそ.ぎ,"hurry, emergency, sudden, steep",N4,1,2,4
止,シ -サ.,と.まる -ど.まり と.める -と.める -ど.め とど.める とど.め とど.まる や.める や.む -や.む よ.,"stop, halt",N4,2,12,2
送,ソウ,おく.る,"escort, send",N4,1,1,2
切,セツ サイ -ギ.,き.る -き.る き.り -き.り -ぎ.り き.れる -き.れる き.れ -き.れ,"cut, cutoff, be sharp",N4,3,9,3
転,テン,ころ.がる ころ.げる ころ.がす ころ.ぶ まろ.ぶ うたた うつ.る,"revolve, turn around, change",N4,1,7,3
研,ケン ト.,,"polish, study of, sharpen",N4,2,0,3
足,ソク タ.,あし た.りる た.る,"leg, foot, be sufficient, counter for pairs of footwear",N4,2,3,4
究,キュウ ク キワ.メ,,"research, study",N4,3,0,2
楽,ガク ラク ゴウ コノ.,たの.しい たの.しむ,"music, comfort, ease",N4,4,2,3
起,キ,お.きる お.こる お.こす おこ.す た.つ,"rouse, wake up, get up",N4,1,5,3
着,チャク ジャク,き.る -ぎ き.せる -き.せ つ.く つ.ける,"don, arrive, wear, counter for suits of clothing",N4,2,6,4
店,テン,みせ たな,"store, shop",N4,1,2,2
病,ビョウ ヘイ,や.む -や.み やまい,"ill, sick",N4,2,3,2
質,シツ シチ チ,たち ただ.す もと わりふ,"substance, quality, matter, temperament",N4,3,4,4
待,タイ -マ.,ま.つ,"wait, depend on",N4,2,1,2
試,シ,こころ.みる ため.す,"test, try, attempt, experiment, ordeal",N4,1,2,5
族,ゾ,,"tribe, family",N4,1,0,2
銀,ギン シロガ,,silver,N4,2,0,1
早,ソウ サッ,はや.い はや はや- はや.まる はや.める さ,"early, fast",N4,2,6,2
映,エイ -バ.,うつ.る うつ.す は.える,"reflect, reflection, projection",N4,2,3,3
親,シン シタ.シ,おや おや- した.しい,"parent, intimacy, relative, familiarity, dealer (cards)",N4,2,3,5
験,ケン ゲン,あかし しるし ため.す ためし,"verification, effect, testing",N4,2,4,3
英,エイ ハナブ,,"England, English",N4,2,0,2
医,イ,い.やす い.する くすし,"doctor, medicine",N4,1,3,2
仕,シ ジ,つか.える,"attend, doing, official, serve",N4,2,1,4
去,キョ コ -サ.,さ.る,"gone, past, quit, leave, elapse, eliminate, divorce",N4,3,1,7
