kanji,on_readings,kun_readings,meanings,jlpt_level,on_count,kun_count,meaning_count
演,エン,,"performance, act, play, render, stage",N3,1,0,5
歳,サイ セイ,とし とせ よわい,"year-end, age, occasion, opportunity",N3,2,3,4
争,ソウ,あらそ.う いか.でか,"contend, dispute, argue",N3,1,2,3
談,ダン,,"discuss, talk",N3,1,0,2
能,ノウ ヨ.,,"ability, talent, skill, capacity",N3,2,0,4
位,イ グラ,くらい,"rank, grade, throne, crown, about, some",N3,2,1,6
置,チ -オ.,お.く,"placement, put, set, deposit, leave behind, keep, employ, pawn",N3,2,1,8
流,リュウ ル -ナガ.,なが.れる なが.れ なが.す,"current, a sink, flow, forfeit",N3,3,3,4
格,カク コウ キャク ゴ,,"status, rank, capacity, character, case (law, grammar)",N3,4,0,6
疑,ギ,うたが.う,"doubt, distrust, be suspicious, question",N3,1,1,4
過,カ,す.ぎる -す.ぎる -す.ぎ す.ごす あやま.つ あやま.ち,"overdo, exceed, go beyond, error",N3,1,6,4
局,キョク,つぼね,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment",N3,1,1,8
放,ホウ ホウ.,はな.す -っぱな.し はな.つ はな.れる こ.く,"set free, release, fire, shoot, emit, banish, liberate",N3,2,5,7
常,ジョウ,つね とこ,"usual, ordinary, normal, regular",N3,1,2,4
状,ジョウ,,"status quo, conditions, circumstances, form, appearance",N3,1,0,5
球,キュウ タ,,"ball, sphere",N3,2,0,2
職,ショク ソ,,"post, employment, work",N3,2,0,3
与,ヨ トモ,あた.える あずか.る くみ.する,"bestow, participate in, give, award, impart, provide, cause, gift, godsend",N3,2,3,9
供,キョウ ク クウ グ,そな.える とも -ども,"submit, offer, present, serve (meal), accompany",N3,4,3,5
役,ヤク エ,,"duty, war, campaign, drafted labor, office, service, role",N3,2,0,7
構,コウ カマ.,かま.える,"posture, build, pretend",N3,2,1,3
割,カツ,わ.る わり わ.り わ.れる さ.く,"proportion, comparatively, divide, cut, separate, split",N3,1,5,6
費,ヒ,つい.やす つい.える,"expense, cost, spend, consume, waste",N3,1,2,5
付,フ -ヅ,つ.ける -つ.ける -づ.ける つ.け つ.け- -つ.け -づ.け -づけ つ.く -づ.く つ.き -つ.き -つ,"adhere, attach, refer to, append",N3,2,13,4
由,ユ ユウ ユイ,よし よ.る,"wherefore, a reason",N3,3,2,2
説,セツ ゼイ ト.,,"rumor, opinion, theory",N3,3,0,3
難,ナン -ニク.,かた.い -がた.い むずか.しい むづか.しい むつか.しい,"difficult, impossible, trouble, accident, defect",N3,2,5,5
優,ユウ ウ マサ.,やさ.しい すぐ.れる,"tenderness, excel, surpass, actor, superiority, gentleness",N3,3,2,6
夫,フ フウ ブ ソ.,おっと,"husband, man",N3,4,1,2
収,シュウ オサ.マ,おさ.める,"income, obtain, reap, pay, supply, store",N3,2,1,6
断,ダン,た.つ ことわ.る さだ.める,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting",N3,1,3,10
石,セキ シャク コク イ,,stone,N3,4,0,1
違,イ,ちが.う ちが.い ちが.える -ちが.える たが.う たが.える,"difference, differ",N3,1,6,2
消,ショウ,き.える け.す,"extinguish, blow out, turn off, neutralize, cancel",N3,1,2,5
神,シン ジン,かみ かん- こう,"gods, mind, soul",N3,2,3,3
番,バン ツガ.,,"turn, number in a series",N3,2,0,2
規,,,"standard, measure",N3,0,0,2
術,ジュツ,すべ,"art, technique, skill, means, trick, resources, magic",N3,1,1,7
備,ビ ツブサ.,そな.える そな.わる,"equip, provision, preparation",N3,2,2,3
宅,タ,,"home, house, residence, our house, my husband",N3,1,0,5
害,ガイ,,"harm, injury",N3,1,0,2
配,ハイ,くば.る,"distribute, spouse, exile, rationing",N3,1,1,4
警,ケイ,いまし.める,"admonish, commandment",N3,1,1,2
育,イク ハグク.,そだ.つ そだ.ち そだ.てる,"bring up, grow up, raise, rear",N3,2,3,4
席,セキ,むしろ,"seat, mat, occasion, place",N3,1,1,4
訪,ホウ ト.,おとず.れる たず.ねる,"call on, visit, look up, offer sympathy",N3,2,2,4
乗,ジョウ ショウ ノ.セ,の.る -の.り,"ride, power, multiplication, record, counter for vehicles, board, mount, join",N3,3,2,8
残,ザン サン,のこ.る のこ.す そこな.う のこ.り,"remainder, leftover, balance",N3,2,4,3
想,ソウ ソ,おも.う,"concept, think, idea, thought",N3,2,1,4
声,セイ ショウ,こえ こわ-,voice,N3,2,2,1
念,ネン,,"wish, sense, idea, thought, feeling, desire, attention",N3,1,0,7
助,ジョ,たす.ける たす.かる す.ける すけ,"help, rescue, assist",N3,1,4,3
労,ロウ,ろう.する いたわ.る いた.ずき ねぎら つか.れる ねぎら.う,"labor, thank for, reward for, toil, trouble",N3,1,6,5
例,レイ,たと.える,"example, custom, usage, precedent",N3,1,1,4
然,ゼン ネン,しか しか.り しか.し さ,"sort of thing, so, if so, in that case, well",N3,2,4,5
限,ゲン,かぎ.る かぎ.り -かぎ.り,"limit, restrict, to best of ability",N3,1,3,3
追,ツイ オ.,,"chase, drive away, follow, pursue, meanwhile",N3,2,0,5
商,ショウ アキナ.,,"make a deal, selling, dealing in, merchant",N3,2,0,4
葉,ヨウ,,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece",N3,1,0,9
伝,デン テン ツ,つた.わる つた.える つた.う つだ.う -づた.い,"transmit, go along, walk along, follow, report, communicate, legend, tradition",N3,3,5,8
働,ドウ リュク リキ ロク リョク,はたら.く,"work, (kokuji)",N3,5,1,2
形,ケイ ギョウ ナ,かた -がた かたち,"shape, form, style",N3,3,3,3
景,ケ,,"scenery, view",N3,1,0,2
落,ラク オ.ト,お.ちる お.ち,"fall, drop, come down",N3,2,2,3
好,コウ イ.,この.む す.く よ.い,"fond, pleasing, like something",N3,2,3,3
退,タイ,しりぞ.く しりぞ.ける ひ.く の.く の.ける ど.く,"retreat, withdraw, retire, resign, repel, expel, reject",N3,1,6,7
頭,トウ ズ ト カブ,あたま かしら -がしら,"head, counter for large animals",N3,4,3,2
負,フ,ま.ける ま.かす お.う,"defeat, negative, -, minus, bear, owe, assume a responsibility",N3,1,3,7
渡,ト ワタ.,わた.る -わた.る,"transit, ford, ferry, cross, import, deliver, diameter, migrate",N3,2,2,8
失,シツ,うしな.う う.せる,"lose, error, fault, disadvantage, loss",N3,1,2,5
差,サ,さ.す さ.し,"distinction, difference, variation, discrepancy, margin, balance",N3,1,2,6
末,マツ バツ,すえ,"end, close, tip, powder, posterity",N3,2,1,5
守,シュ ス カ,まも.る まも.り もり -もり,"guard, protect, defend, obey",N3,3,4,4
若,ジャク ニャク ニャ モ.シク,わか.い わか- も.しくわ も.し,"young, if, perhaps, possibly, low number, immature",N3,4,4,6
種,シュ -グ,たね,"species, kind, class, variety, seed",N3,2,1,5
美,ビ ミ ウツク.シ,,"beauty, beautiful",N3,3,0,2
命,メイ ミョウ,いのち,"fate, command, decree, destiny, life, appoint",N3,2,1,6
福,フ,,"blessing, fortune, luck, wealth",N3,1,0,4
望,ボウ モウ モ,のぞ.む,"ambition, full moon, hope, desire, aspire to, expect",N3,3,1,6
非,ヒ,あら.ず,"un-, mistake, negative, injustice, non-",N3,1,1,5
観,カン,み.る しめ.す,"outlook, look, appearance, condition, view",N3,1,2,5
察,サツ,,"guess, presume, surmise, judge, understand",N3,1,0,5
段,ダン タン,,"grade, steps, stairs",N3,2,0,3
横,オウ,よこ,"sideways, side, horizontal, width, woof",N3,1,1,5
深,シン,ふか.い -ぶか.い ふか.まる ふか.める み-,"deep, heighten, intensify, strengthen",N3,1,5,4
申,シン,もう.す もう.し- さる,"have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac",N3,1,3,4
様,ヨウ ショウ,さま さん,"Esq., way, manner, situation, polite suffix",N3,2,2,5
財,ザイ サイ ゾ,,"property, money, wealth, assets",N3,3,0,4
港,コウ,みなと,harbor,N3,1,1,1
識,シ,,"discriminating, know, write",N3,1,0,3
呼,コ ヨ.,,"call, call out to, invite",N3,2,0,3
達,タツ ダ -タ,,"accomplished, reach, arrive, attain",N3,3,0,4
良,リョウ -イ.,よ.い -よ.い い.い,"good, pleasing, skilled",N3,2,3,3
候,コウ,そうろう,"climate, season, weather",N3,1,1,3
程,テイ -ホ,ほど,"extent, degree, law, formula, distance, limits, amount",N3,2,1,7
満,マン バン ミ.タ,み.ちる み.つ,"full, enough, pride, satisfy",N3,3,2,4
敗,ハイ,やぶ.れる,"failure, defeat, reversal",N3,1,1,3
値,チ アタ,ね,"price, cost, value",N3,2,1,3
突,トツ カ,つ.く,"stab, protruding, thrusting, thrust, pierce, prick",N3,2,1,6
光,コウ ヒカ,ひか.る,"ray, light",N3,2,1,2
路,ロ ル,-じ みち,"path, route, road, distance",N3,2,2,4
科,,,"department, course, section",N3,0,0,3
積,セキ ツ.モ,つ.む -づ.み つ.もる,"volume, product (x*y), acreage, contents, pile up, stack, load, amass",N3,2,3,8
他,タ,ほか,"other, another, the others",N3,1,1,3
処,ショ,ところ -こ お.る,"dispose, manage, deal with, sentence, condemn, act, behave, place",N3,1,3,8
太,タイ タ フト.,ふと.い,"plump, thick, big around",N3,3,1,3
客,キャク カク,,"guest, visitor, customer, client",N3,2,0,4
否,ヒ,いな いや,"negate, no, noes, refuse, decline, deny",N3,1,2,6
師,,,"expert, teacher, master, army, war",N3,0,0,5
登,トウ ト ドウ ショウ チョウ ア.ガ,のぼ.る,"ascend, climb up",N3,6,1,2
易,エキ イ,やさ.しい やす.い,"easy, ready to, simple, fortune-telling, divination",N3,2,2,5
速,ソク スミ.ヤ,はや.い はや- はや.める,"quick, fast",N3,2,3,2
存,ソン ゾ,,"suppose, be aware of, believe, feel",N3,2,0,4
飛,ヒ -ト.バ,と.ぶ と.ばす,"fly, skip (pages), scatter",N3,2,2,3
殺,サツ サイ セツ,ころ.す -ごろ.し そ.ぐ,"kill, murder, butcher, slice off, split, diminish, reduce, spoil",N3,3,3,8
号,ゴウ,さけ.ぶ よびな,"nickname, number, item, title, pseudonym, name, call",N3,1,2,7
単,タン,ひとえ,"simple, one, single, merely",N3,1,1,4
座,ザ,すわ.る,"squat, seat, cushion, gathering, sit",N3,1,1,5
破,ハ ヤブ.レ,やぶ.る,"rend, rip, tear, break, destroy, defeat, frustrate",N3,2,1,7
除,ジョ ジ,のぞ.く -よ.け,"exclude, division (x, 3), remove, abolish, cancel, except",N3,2,2,7
完,カン,,"perfect, completion, end",N3,1,0,3
降,コウ ゴ クダ.,お.りる お.ろす ふ.る ふ.り くだ.る,"descend, precipitate, fall, surrender",N3,3,5,4
責,セキ,せ.める,"blame, condemn, censure",N3,1,1,3
捕,ホ,と.らえる と.らわれる と.る とら.える とら.われる つか.まえる つか.まる,"catch, capture",N3,1,7,2
危,キ,あぶ.ない あや.うい あや.ぶむ,"dangerous, fear, uneasy",N3,1,3,3
給,キュウ -タマ.,たま.う たも.う,"salary, wage, gift, allow, grant, bestow on",N3,2,2,6
苦,ク,くる.しい -ぐる.しい くる.しむ くる.しめる にが.い にが.る,"suffering, trial, worry, hardship, feel bitter, scowl",N3,1,6,6
迎,ゲイ ムカ.エ,,"welcome, meet, greet",N3,2,0,3
園,エン ソ,,"park, garden, yard, farm",N3,2,0,4
具,グ ツブサ.,そな.える,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture",N3,2,1,8
辞,ジ,や.める いな.む,"resign, word, term, expression",N3,1,2,4
因,イン チナ.,よ.る,"cause, factor, be associated with, depend on, be limited to",N3,2,1,5
馬,バ,うま うま-,horse,N3,1,2,1
愛,アイ イト.シ,,"love, affection, favourite",N3,2,0,3
富,フ フウ ト,と.む,"wealth, enrich, abundant",N3,3,1,3
彼,ヒ カ.,かれ かの,"he, that, the",N3,2,2,3
未,ミ ビ,いま.だ ま.だ ひつじ,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac",N3,2,3,8
舞,ブ,ま.う -ま.う まい,"dance, flit, circle, wheel",N3,1,3,4
亡,ボウ モウ,な.い な.き- ほろ.びる ほろ.ぶ ほろ.ぼす,"deceased, the late, dying, perish",N3,2,5,4
冷,レイ,つめ.たい ひ.える ひ.や ひ.ややか ひ.やす ひ.やかす さ.める さ.ます,"cool, cold (beer, person), chill",N3,1,8,4
適,テキ,かな.う,"suitable, occasional, rare, qualified, capable",N3,1,1,5
婦,,,"lady, woman, wife, bride",N3,0,0,4
寄,キ ヨ.セ,よ.る -よ.り,"draw near, stop in, bring near, gather, collect, send, forward",N3,2,2,7
込,コ.メ,-こ.む こ.む こ.み -こ.み,"crowded, mixture, in bulk, included, (kokuji)",N3,1,4,5
顔,ガン,かお,"face, expression",N3,1,1,2
類,ルイ,たぐ.い,"sort, kind, variety, class, genus",N3,1,1,5
余,ヨ アマ.,あま.る あま.り,"too much, myself, surplus, other, remainder",N3,2,2,5
王,オウ -ノ,,"king, rule, magnate",N3,2,0,3
返,ヘン,かえ.す -かえ.す かえ.る -かえ.る,"return, answer, fade, repay",N3,1,4,4
妻,サイ ツ,,"wife, spouse",N3,2,0,2
背,ハイ,せ せい そむ.く そむ.ける,"stature, height, back, behind, disobey, defy, go back on, rebel",N3,1,4,8
熱,ネツ アツ.,,"heat, temperature, fever, mania, passion",N3,2,0,5
宿,シュク ヤド.,やど やど.る,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling",N3,2,2,8
薬,ヤク クス,,"medicine, chemical, enamel, gunpowder, benefit",N3,2,0,5
険,ケン,けわ.しい,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes",N3,1,1,5
頼,ライ タヨ.,たの.む たの.もしい,"trust, request",N3,2,2,2
覚,カク,おぼ.える さ.ます さ.める さと.る,"memorize, learn, remember, awake, sober up",N3,1,4,5
船,セン,ふね ふな,"ship, boat",N3,1,2,2
途,,,"route, way, road",N3,0,0,3
許,キョ,ゆる.す もと,"permit, approve",N3,1,2,2
抜,バツ ハツ ハイ ヌ.カ,ぬ.く -ぬ.く ぬ.き ぬ.ける ぬ.かす,"slip out, extract, pull out, pilfer, quote, remove, omit",N3,4,5,7
便,ベン ビン,たよ.り,convenience,N3,2,1,1
留,リュウ ル ルウブ,と.める と.まる とど.める とど.まる,"detain, fasten, halt, stop",N3,3,4,4
罪,ザイ,つみ,"guilt, sin, crime, fault, blame, offense",N3,1,1,6
努,ド,つと.める,"toil, diligent, as much as possible",N3,1,1,3
精,セイ ショウ シヤ,,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill",N3,3,0,9
散,サン バ,ち.る ち.らす -ち.らす ち.らかす ち.らかる,"scatter, disperse, spend, squander",N3,2,5,4
静,セイ ジョウ シズ.メ,しず- しず.か しず.まる,quiet,N3,3,3,1
婚,コン,,marriage,N3,1,0,1
喜,キ ヨロコ.バ,よろこ.ぶ,"rejoice, take pleasure in",N3,2,1,2
浮,フ ウ.カベ,う.く う.かれる う.かぶ む,"floating, float, rise to surface",N3,2,4,3
絶,ゼツ,た.える た.やす た.つ,"discontinue, beyond, sever, cut off, abstain, interrupt, suppress",N3,1,3,7
幸,コウ シアワ.,さいわ.い さち,"happiness, blessing, fortune",N3,2,2,3
押,オウ オサ.エ,お.す お.し- お.っ- お.さえる,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of",N3,2,4,11
倒,トウ,たお.れる -だお.れ たお.す,"overthrow, fall, collapse, drop, break down",N3,1,3,5
等,トウ,ひと.しい など,"etc., and so forth, class (first), quality, equal, similar",N3,1,2,6
老,ロウ フ.ケ,お.いる,"old man, old age, grow old",N3,2,1,3
曲,キョク マ.ゲ,ま.がる,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean",N3,2,1,11
払,フツ ヒツ ホツ -バラ.,はら.う -はら.い,"pay, clear out, prune, banish, dispose of",N3,4,2,5
庭,テイ ニ,,"courtyard, garden, yard",N3,2,0,3
徒,ト ア,いたずら,"junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people",N3,2,1,10
勤,キン ゴン,つと.める -づと.め つと.まる いそ.しむ,"diligence, become employed, serve",N3,2,4,3
遅,チ オソ.,おく.れる おく.らす,"slow, late, back, later",N3,2,2,4
居,キョ コ オ.,い.る -い,"reside, to be, exist, live with",N3,3,2,4
雑,ザツ ゾウ,まじ.える まじ.る,miscellaneous,N3,2,2,1
招,ショウ,まね.く,"beckon, invite, summon, engage",N3,1,1,4
困,コン,こま.る,"quandary, become distressed, annoyed",N3,1,1,3
欠,,あくび,"lack, gap, fail",N3,0,1,3
更,コウ,さら さら.に ふ.ける ふ.かす,"grow late, night watch, sit up late, of course",N3,1,4,4
刻,コク,きざ.む きざ.み,"engrave, cut fine, chop, hash, mince, time, carving",N3,1,2,7
賛,サン,たす.ける たた.える,"approve, praise, title or inscription on picture, assist, agree with",N3,1,2,5
抱,ホウ カカ.エ,だ.く いだ.く,"embrace, hug, hold in arms",N3,2,2,3
犯,ハン ボン,おか.す,"crime, sin, offense",N3,2,1,3
恐,キョウ,おそ.れる おそ.る おそ.ろしい こわ.い こわ.がる,"fear, dread, awe",N3,1,5,3
息,ソク,いき,"breath, respiration, son, interest (on money)",N3,1,1,4
遠,エン オン トオ.,,"distant, far",N3,3,0,2
戻,レイ,もど.す もど.る,"re-, return, revert, resume, restore, go backwards",N3,1,2,6
願,ガン -ネガ,ねが.う,"petition, request, vow, wish, hope",N3,2,1,5
絵,カイ エ,,"picture, drawing, painting, sketch",N3,2,0,4
越,エツ オツ -ゴ.,こ.す -こ.す -ご.し こ.える,"surpass, cross over, move to, exceed, Vietnam",N3,3,4,5
欲,ヨク,ほっ.する ほ.しい,"longing, covetousness, greed, passion, desire, craving",N3,1,2,6
痛,ツウ,いた.い いた.む いた.ましい いた.める,"pain, hurt, damage, bruise",N3,1,4,4
笑,ショウ エ.,わら.う,laugh,N3,2,1,1
互,ゴ,たが.い かたみ.に,"mutually, reciprocally, together",N3,1,2,3
束,ソク,たば たば.ねる つか つか.ねる,"bundle, sheaf, ream, tie in bundles, govern, manage, control",N3,1,4,7
似,ジ ヒ.,に.る,"becoming, resemble, counterfeit, imitate, suitable",N3,2,1,5
列,レツ,,"file, row, rank, tier, column",N3,1,0,5
探,タン,さぐ.る さが.す,"grope, search, look for",N3,1,2,3
逃,トウ,に.げる に.がす のが.す のが.れる,"escape, flee, shirk, evade, set free",N3,1,4,5
遊,ユウ ユ アソ.バ,あそ.ぶ,play,N3,3,1,1
迷,メイ,まよ.う,"astray, be perplexed, in doubt, lost, err, illusion",N3,1,1,6
夢,ム ボウ,ゆめ ゆめ.みる くら.い,"dream, vision, illusion",N3,2,3,3
君,クン -ギ,きみ,"old boy, name-suffix",N3,2,1,2
閉,ヘイ タ.テ,と.じる と.ざす し.める し.まる,"closed, shut",N3,2,4,2
緒,ショ チョ イトグ,お,"thong, beginning, inception, end, cord, strap",N3,3,1,6
折,セツ オ.レ,お.る おり お.り -お.り,"fold, break, fracture, bend, yield, submit",N3,2,4,6
草,ソウ -グ,くさ くさ-,"grass, weeds, herbs, pasture, write, draft",N3,2,2,6
暮,ボ ク.ラ,く.れる,"livelihood, make a living, spend time",N3,2,1,3
酒,シュ,さけ さか,"sake, alcohol",N3,1,2,2
悲,ヒ,かな.しい かな.しむ,"jail cell, grieve, sad, deplore, regret",N3,1,2,5
晴,セイ ハ.ラ,は.れる は.れ は.れ- -ば.れ,clear up,N3,2,4,1
掛,カイ ケイ -ガカ,か.ける -か.ける か.け -か.け -が.け か.かる -か.かる -が.かる か.かり -が.かり かかり,"hang, suspend, depend, arrive at, tax, pour",N3,3,11,6
到,トウ,いた.る,"arrival, proceed, reach, attain, result in",N3,1,1,5
寝,シン,ね.る ね.かす い.ぬ みたまや や.める,"lie down, sleep, rest, bed, remain unsold",N3,1,5,5
暗,アン,くら.い,"darkness, disappear, shade, informal, grow dark, be blinded",N3,1,1,6
盗,トウ,ぬす.む ぬす.み,"steal, rob, pilfer",N3,1,2,3
吸,キュウ,す.う,"suck, imbibe, inhale, sip",N3,1,1,4
陽,ヨウ,,"sunshine, yang principle, positive, male, heaven, daytime",N3,1,0,6
御,ギョ ゴ,おん- お- み,"honorable, manipulate, govern",N3,2,3,3
歯,シ,よわい は よわ.い よわい.する,"tooth, cog",N3,1,4,2
忘,ボウ,わす.れる,forget,N3,1,1,1
雪,セツ ユ,,snow,N3,2,0,1
吹,スイ フ.,,"blow, breathe, puff, emit, smoke",N3,2,0,5
娘,ジョウ,むすめ こ,"daughter, girl",N3,1,2,2
誤,ゴ,あやま.る -あやま.る,"mistake, err, do wrong, mislead",N3,1,2,4
洗,セン アラ.,,"wash, inquire into, probe",N3,2,0,3
慣,カン,な.れる な.らす,"accustomed, get used to, become experienced",N3,1,2,3
礼,レイ ラ,,"salute, bow, ceremony, thanks, remuneration",N3,2,0,5
窓,ソウ ス,まど てんまど けむだし,"window, pane",N3,2,3,2
昔,セキ シャク,むかし,"once upon a time, antiquity, old times",N3,2,1,3
貧,ヒン ビン,まず.しい,"poverty, poor",N3,2,1,2
怒,ド ヌ,いか.る おこ.る,"angry, be offended",N3,2,2,2
泳,エイ,およ.ぐ,swim,N3,1,1,1
祖,,,"ancestor, pioneer, founder",N3,0,0,3
杯,ハイ,さかずき,"counter for cupfuls, wine glass, glass, toast",N3,1,1,4
疲,ヒ,つか.れる -づか.れ つか.らす,"exhausted, tire, weary",N3,1,3,3
皆,カイ ミン,みな,"all, everything",N3,2,1,2
鳴,メイ ナ.ラ,な.く な.る,"chirp, cry, bark, sound, ring, echo, honk",N3,2,2,7
腹,フク,はら,"abdomen, belly, stomach",N3,1,1,3
煙,エン ケム.,けむ.る けむり,smoke,N3,2,2,1
眠,ミン ネム.,ねむ.る,"sleep, die, sleepy",N3,2,1,3
怖,フ ホ,こわ.い こわ.がる お.じる おそ.れる,"dreadful, be frightened, fearful",N3,2,4,3
耳,ジ ミ,,ear,N3,2,0,1
頂,チョウ,いただ.く いただき,"place on the head, receive, top of head, top, summit, peak",N3,1,2,6
箱,ソウ,はこ,"box, chest, case, bin, railway car",N3,1,1,5
晩,バン,,"nightfall, night",N3,1,0,2
寒,カン サム.,,cold,N3,2,0,1
髪,ハツ カ,,hair of the head,N3,2,0,1
忙,ボウ モウ,いそが.しい せわ.しい おそ.れる うれえるさま,"busy, occupied, restless",N3,2,4,3
才,サイ,,"genius, years old, cubic shaku",N3,1,0,3
靴,カ,くつ,shoes,N3,1,1,1
恥,チ,は.じる はじ は.じらう は.ずかしい,"shame, dishonor",N3,1,4,2
偶,グウ,たま,"accidentally, even number, couple, man & wife, same kind",N3,1,1,5
偉,イ エラ.,,"admirable, greatness, remarkable, conceited, famous, excellent",N3,2,0,6
猫,ビョウ,ねこ,cat,N3,1,1,1
幾,キ イク.,いく- いく.つ,"how many, how much, how far, how long",N3,2,2,4
党,トウ,なかま むら,"party, faction, clique",N2,1,2,3
協,キョウ,,"co-, cooperation",N2,1,0,2
総,ソウ フ,す.べて すべ.て,"general, whole, all, full, total",N2,2,2,5
区,ク オウ コウ,,"ward, district",N2,3,0,2
領,リョウ,,"jurisdiction, dominion, territory, fief, reign",N2,1,0,5
県,ケン カ.ケ,,prefecture,N2,2,0,1
設,セツ モウ.ケ,,"establishment, provision, prepare",N2,2,0,3
改,カイ,あらた.める あらた.まる,"reformation, change, modify, mend, renew, examine, inspect, search",N2,1,2,8
府,,,"borough, urban prefecture, govt office, representative body, storehouse",N2,0,0,5
査,サ,,investigate,N2,1,0,1
委,イ ユダ.ネ,,"committee, entrust to, leave to, devote, discard",N2,2,0,5
軍,グン,,"army, force, troops, war, battle",N2,1,0,5
団,ダン トン,かたまり まる.い,"group, association",N2,2,2,2
各,カク オノオ,,"each, every, either",N2,2,0,3
島,トウ,しま,island,N2,1,1,1
革,カク,かわ,"leather, become serious, skin, hide, pelt",N2,1,1,5
村,ソン ム,,"town, village",N2,2,0,2
勢,セイ ゼイ ハズ,いきお.い,"forces, energy, military strength",N2,3,1,3
減,ゲン,へ.る へ.らす,"dwindle, decrease, reduce, decline, curtail, get hungry",N2,1,2,6
再,サイ サ フタタ.,,"again, twice, second time",N2,3,0,3
税,ゼ,,"tax, duty",N2,1,0,2
営,エイ,いとな.む いとな.み,"occupation, camp, perform, build, conduct (business)",N2,1,2,5
比,ヒ クラ.ベ,,"compare, race, ratio, Philipines",N2,2,0,4
防,ボウ フセ.,,"ward off, defend, protect, resist",N2,2,0,4
補,ホ,おぎな.う,"supplement, supply, make good, offset, compensate, assistant, learner",N2,1,1,7
境,キョウ ケイ サカ,,"boundary, border, region",N2,3,0,3
導,ドウ ミチビ.,,"guidance, leading, conduct, usher",N2,2,0,4
副,フ,,"vice-, duplicate, copy",N2,1,0,3
算,サン,そろ,"calculate, divining, number, abacus, probability",N2,1,1,5
輸,ユ シュ,,"transport, send, be inferior",N2,2,0,3
述,ジュツ,の.べる,"mention, state, speak, relate",N2,1,1,4
線,セン,すじ,"line, track",N2,1,1,2
農,ノ,,"agriculture, farmers",N2,1,0,2
州,シュウ ス,,"state, province",N2,2,0,2
武,ブ ム タケ.,,"warrior, military, chivalry, arms",N2,3,0,4
象,ショウ ゾウ カタド.,,"elephant, pattern after, imitate, image, shape, sign (of the times)",N2,3,0,6
域,イキ,,"range, region, limits, stage, level",N2,1,0,5
額,ガク ヒタ,,"forehead, tablet, plaque, framed picture, sum, amount, volume",N2,2,0,7
欧,オウ ハ.,うた.う,Europe,N2,2,1,1
担,タン,かつ.ぐ にな.う,"shouldering, carry, raise, bear",N2,1,2,4
準,ジュン,じゅん.じる じゅん.ずる なぞら.える のり ひと.しい みずもり,"semi-, correspond to, proportionate to, conform, imitate",N2,1,6,5
賞,ショウ,ほ.める,"prize, reward, praise",N2,1,1,3
辺,ヘン,あた.り ほと.り,"environs, boundary, border, vicinity",N2,1,2,4
造,ゾウ -ヅク.,つく.る つく.り,"create, make, structure, physique",N2,2,2,4
被,ヒ カブ.セ,こうむ.る おお.う かぶ.る,"incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving",N2,2,3,9
技,ギ,わざ,"skill, art, craft, ability, feat, performance, vocation, arts",N2,1,1,8
低,テイ,ひく.い ひく.める ひく.まる,"lower, short, humble",N2,1,3,3
復,フク,また,"restore, return to, revert, resume",N2,1,1,4
移,イ,うつ.る うつ.す,"shift, move, change, drift, catch (cold, fire), pass into",N2,1,2,7
個,コ カ,,"individual, counter for articles and military units",N2,2,0,2
門,モン,かど,gates,N2,1,1,1
課,カ,,"chapter, lesson, section, department, division, counter for chapters (of a book)",N2,1,0,6
脳,ノウ ドウ,のうずる,"brain, memory",N2,2,1,2
極,キョク ゴク,きわ.める きわ.まる きわ.まり きわ.み き.める -ぎ.め き.まる,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48",N2,2,7,11
含,ガン,ふく.む ふく.める,"include, bear in mind, understand, cherish",N2,1,2,4
蔵,ゾウ ソウ カク.レ,くら おさ.める,"storehouse, hide, own, have, possess",N2,3,2,5
量,リョウ ハカ.,,"quantity, measure, weight, amount, consider, estimate, surmise",N2,2,0,7
型,ケイ,かた -がた,"mould, type, model",N2,1,2,3
況,キョウ,まし.て いわ.んや おもむき,"condition, situation",N2,1,3,2
針,シン ハ,,"needle, pin, staple, stinger",N2,2,0,4
専,セン,もっぱ.ら,"specialty, exclusive, mainly, solely",N2,1,1,4
谷,コク キワ.マ,たに,valley,N2,2,1,1
史,,,"history, chronicle",N2,0,0,2
階,カイ キザハ,,"storey, stair, counter for storeys of a building",N2,2,0,3
管,カン ク,,"pipe, tube, wind instrument, drunken talk",N2,2,0,4
兵,ヘイ ヒョウ ツワモ,,"soldier, private, troops, army, warfare, strategy, tactics",N2,3,0,7
